2014-03-17 0:00:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-17 0:00:01 - INFO --> |       1050 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:01:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-17 0:01:01 - INFO --> |       1051 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:02:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-17 0:02:01 - INFO --> |       1052 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:02:03 - INFO --> |       1053 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:03:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-17 0:03:01 - INFO --> |       1054 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:04:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-17 0:04:01 - INFO --> |       1055 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:04:03 - INFO --> |       1056 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:05:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-17 0:05:01 - INFO --> |       1057 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:06:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-17 0:06:01 - INFO --> |       1058 | 2     |          au2man |               1 |            1 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:08:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-17 0:08:01 - INFO --> |       1059 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:08:03 - INFO --> |       1060 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:09:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-17 0:09:01 - INFO --> |       1061 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:09:03 - INFO --> |       1062 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:10:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-17 0:10:01 - INFO --> |       1063 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:10:03 - INFO --> |       1064 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:11:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-17 0:11:01 - INFO --> |       1065 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:11:03 - INFO --> |       1066 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:12:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-17 0:12:01 - INFO --> |       1067 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:12:03 - INFO --> |       1068 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:13:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-17 0:13:01 - INFO --> |       1069 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:13:03 - INFO --> |       1070 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:16:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-17 0:16:01 - INFO --> |       1071 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:16:03 - INFO --> |       1072 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:17:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-17 0:17:01 - INFO --> |       1073 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:18:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-17 0:18:01 - INFO --> |       1074 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:19:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-17 0:19:01 - INFO --> |       1075 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:20:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-17 0:20:01 - INFO --> |       1076 | 2     |          au2man |               2 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:20:03 - INFO --> |       1077 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:21:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-17 0:21:01 - INFO --> |       1078 | 2     |          au2man |               2 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:21:03 - INFO --> |       1079 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:22:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-17 0:22:01 - INFO --> |       1080 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:22:03 - INFO --> |       1081 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:23:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-17 0:23:01 - INFO --> |       1082 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:23:03 - INFO --> |       1083 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:24:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-17 0:24:01 - INFO --> |       1084 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:25:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-17 0:25:01 - INFO --> |       1085 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:25:03 - INFO --> |       1086 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:26:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-17 0:26:01 - INFO --> |       1087 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:26:03 - INFO --> |       1088 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:27:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-17 0:27:01 - INFO --> |       1089 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:28:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-17 0:28:01 - INFO --> |       1090 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:28:03 - INFO --> |       1091 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:28:05 - INFO --> |       1092 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:29:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-17 0:29:01 - INFO --> |       1093 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:29:03 - INFO --> |       1094 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:31:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-17 0:31:01 - INFO --> |       1095 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:32:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-17 0:32:01 - INFO --> |       1096 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.28000000 |           0.00000000 |
2014-03-17 0:33:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-17 0:33:01 - INFO --> |       1097 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:33:03 - INFO --> |       1098 | 2     |          au2man |               2 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:33:05 - INFO --> |       1099 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:34:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-17 0:34:01 - INFO --> |       1100 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:35:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-17 0:35:01 - INFO --> |       1101 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:35:03 - INFO --> |       1102 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:37:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-17 0:37:01 - INFO --> |       1103 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:37:03 - INFO --> |       1104 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:37:05 - INFO --> |       1105 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:38:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-17 0:38:01 - INFO --> |       1106 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:38:03 - INFO --> |       1107 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:39:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-17 0:39:01 - INFO --> |       1108 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:40:02 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-17 0:40:02 - INFO --> |       1109 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:40:04 - INFO --> |       1110 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:40:06 - INFO --> |       1111 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:40:08 - INFO --> |       1112 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:40:10 - INFO --> |       1113 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:41:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-17 0:41:01 - INFO --> |       1114 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:41:03 - INFO --> |       1115 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:41:05 - INFO --> |       1116 | 2     |          au2man |               2 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:42:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-17 0:42:01 - INFO --> |       1117 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:42:03 - INFO --> |       1118 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:42:05 - INFO --> |       1119 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:43:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-17 0:43:01 - INFO --> |       1120 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:43:03 - INFO --> |       1121 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:44:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-17 0:44:01 - INFO --> |       1122 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:44:03 - INFO --> |       1123 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:45:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-17 0:45:01 - INFO --> |       1124 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:45:03 - INFO --> |       1125 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:45:05 - INFO --> |       1126 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:46:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-17 0:46:01 - INFO --> |       1127 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:46:03 - INFO --> |       1128 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:46:05 - INFO --> |       1129 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:46:07 - INFO --> |       1130 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
2014-03-17 0:46:09 - INFO --> |       1131 | 2     |          au2man |               1 |            0 |         100.00000000 |         100.00000000 |           0.00000000 |
