2014-03-16 0:44:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-16 0:44:01 - INFO --> |          2 | 1     |       fubendong |               2 |            0 |         100.00000000 |   8,888,888.00000000 |           0.00000000 |
2014-03-16 12:06:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-16 12:06:01 - INFO --> |          8 | 2     |          au2man |               2 |            0 |         100.00000000 |   8,888,888.00000000 |           0.00000000 |
2014-03-16 12:09:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-16 12:09:01 - INFO --> |          9 | 2     |          au2man |               2 |            0 |         100.00000000 |   8,888,888.00000000 |           0.00000000 |
2014-03-16 12:10:02 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-16 12:10:02 - INFO --> |         10 | 2     |          au2man |               1 |            0 |         100.00000000 |   8,888,888.00000000 |           0.00000000 |
2014-03-16 12:10:04 - INFO --> |         11 | 2     |          au2man |               1 |            0 |         100.00000000 |   8,888,888.00000000 |           0.00000000 |
2014-03-16 12:11:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-16 12:11:01 - INFO --> |         12 | 2     |          au2man |               1 |            0 |         100.00000000 |   8,888,888.00000000 |           0.00000000 |
2014-03-16 12:11:04 - INFO --> |         13 | 2     |          au2man |               1 |            0 |         100.00000000 |   8,888,888.00000000 |           0.00000000 |
2014-03-16 12:12:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-16 12:12:01 - INFO --> |         14 | 2     |          au2man |               1 |            0 |         100.00000000 |   8,888,888.00000000 |           0.00000000 |
2014-03-16 12:12:03 - INFO --> |         15 | 2     |          au2man |               1 |            0 |         100.00000000 |   8,888,888.00000000 |           0.00000000 |
2014-03-16 12:13:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-16 12:13:01 - INFO --> |         16 | 2     |          au2man |               1 |            0 |         100.00000000 |   8,888,888.00000000 |           0.00000000 |
2014-03-16 12:13:03 - INFO --> |         17 | 2     |          au2man |               1 |            0 |         100.00000000 |   8,888,888.00000000 |           0.00000000 |
2014-03-16 12:14:01 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-16 12:14:01 - INFO --> |         18 | 2     |          au2man |               1 |            0 |         100.00000000 |   8,888,888.00000000 |           0.00000000 |
2014-03-16 12:14:04 - INFO --> |         19 | 2     |          au2man |               1 |            0 |         100.00000000 |   8,888,888.00000000 |           0.00000000 |
2014-03-16 12:15:02 - INFO --> |      Block | ID    |        Username |           Valid |      Invalid |           Percentage |               Payout |             Donation |
2014-03-16 12:15:02 - INFO --> |         20 | 2     |          au2man |               1 |            0 |         100.00000000 |   8,888,888.00000000 |           0.00000000 |
2014-03-16 12:15:04 - INFO --> |         21 | 2     |          au2man |               1 |            0 |         100.00000000 |   8,888,888.00000000 |           0.00000000 |
2014-03-16 12:15:06 - INFO --> |         22 | 2     |          au2man |               1 |            0 |         100.00000000 |   8,888,888.00000000 |           0.00000000 |
2014-03-16 12:15:08 - INFO --> |         23 | 2     |          au2man |               1 |            0 |         100.00000000 |   8,888,888.00000000 |           0.00000000 |
