2014-03-18 0:00:09 - INFO --> | Process              |   Affected |  Runtime | Status | Message                                  |
2014-03-18 0:00:09 - INFO --> | cleanupNotifications |          0 |    0.000 |     OK | No notifications deleted                 |
2014-03-18 0:00:09 - INFO --> | cleanupTokens        |          0 |    0.001 |     OK | No tokens deleted                        |
2014-03-18 0:00:09 - INFO --> | purgeArchive         |          1 |    0.002 |     OK | Deleted old shares                       |
2014-03-18 0:01:04 - INFO --> | Process              |   Affected |  Runtime | Status | Message                                  |
2014-03-18 0:01:04 - INFO --> | cleanupNotifications |          0 |    0.000 |     OK | No notifications deleted                 |
2014-03-18 0:01:04 - INFO --> | cleanupTokens        |          0 |    0.001 |     OK | No tokens deleted                        |
2014-03-18 0:01:04 - INFO --> | purgeArchive         |          1 |    0.003 |     OK | Deleted old shares                       |
2014-03-18 0:02:04 - INFO --> | Process              |   Affected |  Runtime | Status | Message                                  |
2014-03-18 0:02:04 - INFO --> | cleanupNotifications |          0 |    0.000 |     OK | No notifications deleted                 |
2014-03-18 0:02:04 - INFO --> | cleanupTokens        |          0 |    0.001 |     OK | No tokens deleted                        |
2014-03-18 0:02:04 - INFO --> | purgeArchive         |          2 |    0.001 |     OK | Deleted old shares                       |
2014-03-18 0:03:04 - INFO --> | Process              |   Affected |  Runtime | Status | Message                                  |
2014-03-18 0:03:04 - INFO --> | cleanupNotifications |          0 |    0.000 |     OK | No notifications deleted                 |
2014-03-18 0:03:04 - INFO --> | cleanupTokens        |          0 |    0.000 |     OK | No tokens deleted                        |
2014-03-18 0:03:04 - INFO --> | purgeArchive         |          2 |    0.001 |     OK | Deleted old shares                       |
2014-03-18 0:04:04 - INFO --> | Process              |   Affected |  Runtime | Status | Message                                  |
2014-03-18 0:04:04 - INFO --> | cleanupNotifications |          0 |    0.000 |     OK | No notifications deleted                 |
2014-03-18 0:04:04 - INFO --> | cleanupTokens        |          0 |    0.001 |     OK | No tokens deleted                        |
2014-03-18 0:04:04 - INFO --> | purgeArchive         |          1 |    0.002 |     OK | Deleted old shares                       |
2014-03-18 0:05:04 - INFO --> | Process              |   Affected |  Runtime | Status | Message                                  |
2014-03-18 0:05:04 - INFO --> | cleanupNotifications |          0 |    0.000 |     OK | No notifications deleted                 |
2014-03-18 0:05:04 - INFO --> | cleanupTokens        |          0 |    0.001 |     OK | No tokens deleted                        |
2014-03-18 0:05:04 - INFO --> | purgeArchive         |          3 |    0.008 |     OK | Deleted old shares                       |
2014-03-18 0:06:05 - INFO --> | Process              |   Affected |  Runtime | Status | Message                                  |
2014-03-18 0:06:05 - INFO --> | cleanupNotifications |          0 |    0.000 |     OK | No notifications deleted                 |
2014-03-18 0:06:05 - INFO --> | cleanupTokens        |          0 |    0.001 |     OK | No tokens deleted                        |
2014-03-18 0:06:05 - INFO --> | purgeArchive         |          0 |    0.001 |     OK | No shares deleted                        |
2014-03-18 0:07:04 - INFO --> | Process              |   Affected |  Runtime | Status | Message                                  |
2014-03-18 0:07:04 - INFO --> | cleanupNotifications |          0 |    0.000 |     OK | No notifications deleted                 |
2014-03-18 0:07:04 - INFO --> | cleanupTokens        |          0 |    0.001 |     OK | No tokens deleted                        |
2014-03-18 0:07:04 - INFO --> | purgeArchive         |          0 |    0.001 |     OK | No shares deleted                        |
2014-03-18 0:08:04 - INFO --> | Process              |   Affected |  Runtime | Status | Message                                  |
2014-03-18 0:08:04 - INFO --> | cleanupNotifications |          0 |    0.000 |     OK | No notifications deleted                 |
2014-03-18 0:08:04 - INFO --> | cleanupTokens        |          0 |    0.001 |     OK | No tokens deleted                        |
2014-03-18 0:08:04 - INFO --> | purgeArchive         |          2 |    0.001 |     OK | Deleted old shares                       |
2014-03-18 0:09:05 - INFO --> | Process              |   Affected |  Runtime | Status | Message                                  |
2014-03-18 0:09:05 - INFO --> | cleanupNotifications |          0 |    0.000 |     OK | No notifications deleted                 |
2014-03-18 0:09:05 - INFO --> | cleanupTokens        |          0 |    0.000 |     OK | No tokens deleted                        |
2014-03-18 0:09:05 - INFO --> | purgeArchive         |          2 |    0.001 |     OK | Deleted old shares                       |
