2014-03-22 0:13:11 - INFO --> | cleanupTokens        |          0 |    0.001 |     OK | No tokens deleted                        |
2014-03-22 0:13:11 - INFO --> | purgeArchive         |          0 |    0.001 |     OK | No shares deleted                        |
2014-03-22 0:14:04 - INFO --> | Process              |   Affected |  Runtime | Status | Message                                  |
2014-03-22 0:14:04 - INFO --> | cleanupNotifications |          0 |    0.000 |     OK | No notifications deleted                 |
2014-03-22 0:14:04 - INFO --> | cleanupTokens        |          0 |    0.001 |     OK | No tokens deleted                        |
2014-03-22 0:14:04 - INFO --> | purgeArchive         |          0 |    0.001 |     OK | No shares deleted                        |
2014-03-22 0:15:05 - INFO --> | Process              |   Affected |  Runtime | Status | Message                                  |
2014-03-22 0:15:05 - INFO --> | cleanupNotifications |          0 |    0.000 |     OK | No notifications deleted                 |
2014-03-22 0:15:05 - INFO --> | cleanupTokens        |          0 |    0.001 |     OK | No tokens deleted                        |
2014-03-22 0:15:05 - INFO --> | purgeArchive         |          0 |    0.001 |     OK | No shares deleted                        |
2014-03-22 0:16:05 - INFO --> | Process              |   Affected |  Runtime | Status | Message                                  |
2014-03-22 0:16:05 - INFO --> | cleanupNotifications |          0 |    0.000 |     OK | No notifications deleted                 |
2014-03-22 0:16:05 - INFO --> | cleanupTokens        |          0 |    0.001 |     OK | No tokens deleted                        |
2014-03-22 0:16:05 - INFO --> | purgeArchive         |          0 |    0.001 |     OK | No shares deleted                        |
2014-03-22 0:17:04 - INFO --> | Process              |   Affected |  Runtime | Status | Message                                  |
2014-03-22 0:17:04 - INFO --> | cleanupNotifications |          0 |    0.000 |     OK | No notifications deleted                 |
2014-03-22 0:17:04 - INFO --> | cleanupTokens        |          0 |    0.001 |     OK | No tokens deleted                        |
2014-03-22 0:17:04 - INFO --> | purgeArchive         |          0 |    0.001 |     OK | No shares deleted                        |
2014-03-22 0:18:05 - INFO --> | Process              |   Affected |  Runtime | Status | Message                                  |
2014-03-22 0:18:05 - INFO --> | cleanupNotifications |          0 |    0.000 |     OK | No notifications deleted                 |
2014-03-22 0:18:05 - INFO --> | cleanupTokens        |          0 |    0.001 |     OK | No tokens deleted                        |
2014-03-22 0:18:05 - INFO --> | purgeArchive         |          0 |    0.001 |     OK | No shares deleted                        |
2014-03-22 0:19:06 - INFO --> | Process              |   Affected |  Runtime | Status | Message                                  |
2014-03-22 0:19:06 - INFO --> | cleanupNotifications |          0 |    0.000 |     OK | No notifications deleted                 |
2014-03-22 0:19:06 - INFO --> | cleanupTokens        |          0 |    0.001 |     OK | No tokens deleted                        |
2014-03-22 0:19:06 - INFO --> | purgeArchive         |          0 |    0.001 |     OK | No shares deleted                        |
2014-03-22 0:20:05 - INFO --> | Process              |   Affected |  Runtime | Status | Message                                  |
2014-03-22 0:20:05 - INFO --> | cleanupNotifications |          0 |    0.000 |     OK | No notifications deleted                 |
